ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
28977834,within an hour,1,1,True ,True ,True ,2,Las Condes,-33.41048,-70.57195,Entire home/apt,2,1,2,2,67857.00,4,30,152,46,16,4.89,4.93,4.76,4.96,5,4.98,4.8,True ,2,1.07
27954676,within an hour,1,0.99,True ,True ,True ,7,Providencia,-33.41785,-70.61385,Entire home/apt,5,2,2,3,105665.00,3,90,325,24,2,4.92,4.92,5,5,5,4.92,4.92,False ,7,0.54
28981392,within an hour,1,0.96,FALSE,True ,True ,8,Santiago,-33.43813,-70.63847,Entire home/apt,3,1,1,1,105665.00,1,1125,295,17,6,4.71,4.65,4.94,4.82,5,4.65,4.76,True ,8,0.39
27957824,within a few hours,0.9,1,True ,True ,True ,1,Providencia,-33.4309,-70.61935,Entire home/apt,4,2,2,3,40000.00,2,1125,128,38,22,4.76,4.84,4.35,4.97,4.95,5,4.78,False ,1,0.82
27983733,a few days or more,0.33,0.4,FALSE,True ,True ,5,Santiago,-33.44237,-70.66523,Hotel room,1,0,4,1,22013.00,30,90,173,1,0,5,5,5,5,5,5,5,True ,1,0.03
27985830,within a few hours,0.8,0.8,FALSE,True ,True ,2,Lo Barnechea,-33.35223,-70.24748,Entire home/apt,5,2,2,4,422658.00,2,1125,305,0,0,,,,,,,,False ,1,
29136658,within an hour,1,0.5,FALSE,True ,False ,1,Providencia,-33.42902,-70.61797,Private room,1,1,1,1,12000.00,2,360,307,8,0,4.71,4.86,4.86,5,5,5,5,False ,1,0.18
29144060,a few days or more,0.33,1,FALSE,True ,False ,1,San Joaquín,-33.47358,-70.62669,Private room,1,1,1,1,15000.00,30,60,365,1,0,0,,,,,,,True ,1,0.02
28986047,within an hour,1,0.8,FALSE,True ,True ,4,Las Condes,-33.41772,-70.59712,Entire home/apt,5,1,2,4,82000.00,1,360,361,3,2,3,3.33,3.33,3.33,3.33,4,2.67,False ,5,0.08
29154645,within an hour,1,0.98,FALSE,True ,True ,3,Las Condes,-33.407,-70.55821,Entire home/apt,2,1,1,2,71000.00,2,1000,361,56,15,4.91,4.95,4.95,5,5,4.88,4.84,True ,3,1.25
28988759,within a few hours,0.67,0.5,FALSE,True ,True ,1,Las Condes,-33.40236,-70.55434,Entire home/apt,2,1,1,1,30000.00,15,1125,52,13,0,4.69,4.92,4.38,4.92,4.77,4.77,4.69,True ,1,0.3
28989795,within an hour,1,1,True ,True ,False ,1,Providencia,-33.44572,-70.61881,Entire home/apt,2,1,1,1,16429.00,3,1125,47,41,14,4.73,4.8,4.68,4.95,4.98,4.98,4.68,True ,1,0.92
28997442,Unknown,NaN,0,FALSE,True ,True ,1,Providencia,-33.42805,-70.61828,Entire home/apt,2,1.5,1,1,23000.00,15,365,2,26,0,5,5,4.84,4.96,5,5,4.96,False ,1,0.7
29003437,within a few hours,0.9,0.93,FALSE,True ,True ,3,Las Condes,-33.40784,-70.57547,Entire home/apt,4,2,2,2,91576.00,3,60,61,50,22,4.64,4.64,4.44,4.82,4.8,4.88,4.6,False ,2,1.11
