,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5045,39881161.0,Unknown,0.0,0.0,False,True,True,1,Santiago,-33.46852,-70.66556,Private room,1,1.0,1.0,1.0,20000,3.0,60.0,179,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5046,40365140.0,within an hour,0.67,0.88,False,True,True,3,Providencia,-33.43607,-70.62735,Entire home/apt,2,1.0,1.0,1.0,35000,15.0,30.0,140,5.0,0,4.8,4.8,4.8,5.0,5.0,4.6,4.4,False,1,0.17
5047,40367206.0,within a few hours,1.0,1.0,False,True,True,8,Providencia,-33.433632,-70.616798,Entire home/apt,2,1.0,1.0,1.0,41385,7.0,30.0,121,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,9,0.0
5048,40649439.0,within a day,0.75,0.0,False,True,False,2,Santiago,-33.45318,-70.646,Entire home/apt,3,1.0,2.0,2.0,35000,2.0,30.0,48,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0.0
5049,40650128.0,within an hour,1.0,1.0,False,True,True,4,Santiago,-33.44695,-70.63559,Private room,2,1.0,1.0,1.0,30000,1.0,30.0,363,1.0,1,3.0,2.0,3.0,5.0,5.0,4.0,2.0,True,5,0.15
5050,40658245.0,within an hour,1.0,0.5,False,True,True,1,Ñuñoa,-33.45534,-70.61496,Entire home/apt,4,2.0,2.0,2.0,27301,30.0,30.0,202,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0.0
5051,40660633.0,within an hour,0.89,0.97,False,True,True,9,Santiago,-33.44797,-70.65399,Entire home/apt,2,1.0,1.0,1.0,33000,2.0,40.0,330,50.0,17,4.66,4.8,4.46,4.94,4.74,4.94,4.76,True,9,1.64
5052,40395802.0,within a day,1.0,0.91,False,True,True,10,Santiago,-33.43417,-70.64753,Entire home/apt,5,1.0,2.0,3.0,43000,30.0,30.0,2,15.0,1,4.93,4.93,4.67,4.87,5.0,4.73,4.73,False,1,0.5
5053,41029541.0,within an hour,1.0,1.0,False,True,True,0,Santiago,-33.44111,-70.64109,Private room,4,1.0,1.0,4.0,75726,1.0,30.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0.0
5054,41030510.0,within a few hours,1.0,0.5,False,True,True,1,Providencia,-33.41935,-70.60767,Entire home/apt,2,1.0,1.0,1.0,50000,5.0,30.0,85,4.0,2,4.25,4.25,3.25,4.0,4.5,5.0,4.25,False,1,0.14
5055,40677613.0,within an hour,1.0,0.33,False,True,True,3,Santiago,-33.44739,-70.64994,Entire home/apt,2,1.0,1.0,1.0,24286,2.0,10.0,40,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
5056,41034133.0,within a day,1.0,1.0,False,True,True,1,Santiago,-33.44863,-70.64255,Private room,1,1.5,1.0,1.0,12000,2.0,7.0,323,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5057,41042928.0,Unknown,0.0,0.0,False,True,True,0,La Cisterna,-33.53172,-70.67203,Entire home/apt,3,1.0,2.0,2.0,35000,7.0,30.0,179,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
