VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1094,11354988,within a few hours,0.92,1,False,True,False,0,Santiago,-33.45094,-70.67439,Entire home/apt,2,0,2,1,16000,7,60,71,6,6,4.33,4.33,3.83,4.83,4.33,4.33,4.5,True,1,0.79
1101,12681015,within a few hours,0.9,0.92,False,True,True,5,Lo Barnechea,-33.34598,-70.29191,Entire home/apt,6,5,1,5,190000,3,30,326,23,3,4.48,4.65,4.09,4.96,5,4.96,4.09,False,2,0.32
1102,12683704,a few days or more,0,0,False,True,True,1,Providencia,-33.42797,-70.6187,Entire home/apt,5,1,2,3,35000,1,30,172,3,0,5,5,5,5,5,5,5,False,1,0.05
1103,12093825,Unknown,0,0,False,True,True,1,Santiago,-33.43877,-70.64202,Entire home/apt,3,1,1,1,34000,3,180,172,162,0,4.91,4.98,4.88,4.97,4.95,4.98,4.85,True,1,2.17
1106,12699549,within an hour,0.8,0.91,False,True,True,1,Lo Barnechea,-33.33522,-70.29144,Entire home/apt,8,1,2,7,278571,2,30,344,48,5,4.68,4.7,4.72,4.62,4.6,4.78,4.43,True,1,0.66
1108,12105769,Unknown,0,0,False,True,False,1,Providencia,-33.42365,-70.61798,Entire home/apt,2,1,1,1,1937183,20,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1110,13101816,a few days or more,0.25,0.75,False,True,True,4,Lo Barnechea,-33.34929,-70.29576,Entire home/apt,10,4,4,10,638390,2,30,355,2,1,4.5,4,3,5,4,5,4.5,True,4,0.06
1112,13116394,a few days or more,0.25,0.75,False,True,True,4,Lo Barnechea,-33.35042,-70.29597,Entire home/apt,8,4,3,8,532725,3,30,269,1,0,0,4.7,4.6,4.8,4.8,4.8,4.6,True,4,0.02
1114,12712939,Unknown,0,1,False,True,False,1,Providencia,-33.4223,-70.60642,Entire home/apt,2,1,1,2,44027,3,30,294,27,0,4.65,4.83,4.48,4.87,4.83,5,4.65,True,1,0.36
1115,13125382,Unknown,0,0,False,True,False,1,Santiago,-33.44813,-70.64995,Entire home/apt,3,1,1,1,35000,3,30,358,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1117,12130376,a few days or more,0,0,False,True,False,1,Lo Barnechea,-33.35214,-70.31416,Entire home/apt,8,1,4,7,528323,7,30,363,1,0,5,5,5,5,5,5,5,True,1,0.01
1118,12726800,a few days or more,0,0,False,True,False,1,Santiago,-33.44795,-70.63982,Entire home/apt,2,1,2,2,4600000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1120,12157252,within an hour,1,0.91,True,True,True,1,Recoleta,-33.43135,-70.6363,Entire home/apt,6,1,2,5,40000,3,60,346,81,14,4.79,4.9,4.88,4.99,4.96,4.82,4.76,False,1,1.09
1122,12172349,within an hour,0.97,1,False,True,True,26,Las Condes,-33.41619,-70.60279,Entire home/apt,3,26,1,2,49140,1,30,336,121,33,4.43,4.74,4.64,4.71,4.64,4.9,4.4,True,25,1.6
1124,12734863,within a day,0.71,0.57,False,True,True,2,Providencia,-33.43885,-70.619,Entire home/apt,4,2,1,2,34990,30,120,307,21,0,4.65,4.8,4.8,4.95,4.8,4.95,4.74,True,1,0.3
1125,13139641,a few days or more,0,0,False,True,True,1,Las Condes,-33.41891,-70.55412,Entire home/apt,6,1,3,5,60000,10,20,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1126,12173559,within an hour,1,0.91,False,True,True,3,Santiago,-33.44262,-70.64396,Entire home/apt,3,3,1,1,38000,2,15,296,56,17,4.74,4.85,4.69,4.72,4.83,4.75,4.72,True,1,0.77
1127,12758863,within a few hours,1,0.89,False,True,True,3,Las Condes,-33.41645,-70.59538,Entire home/apt,3,3,1,1,28000,7,30,48,103,15,4.47,4.65,4.07,4.88,4.87,4.95,4.5,False,2,1.41
1128,12187673,Unknown,0,0,False,True,False,2,Santiago,-33.43835,-70.64395,Entire home/apt,2,2,1,1,44027,2,30,364,1,0,0,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.01
1129,12190381,Unknown,0,0,False,True,False,3,Las Condes,-33.41066,-70.57098,Entire home/apt,3,3,1,1,48430,2,30,363,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
1130,12191439,Unknown,0,0,False,True,False,3,Las Condes,-33.40531,-70.58336,Entire home/apt,5,3,3,3,136483,2,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
1133,12779067,within an hour,0.75,0.78,False,True,True,1,Ñuñoa,-33.45105,-70.62208,Entire home/apt,2,1,1,1,38744,7,30,357,68,3,4.62,4.83,4.48,4.83,4.61,4.97,4.69,False,1,0.93
1134,13156856,within an hour,1,1,False,True,True,9,Providencia,-33.4348,-70.62779,Entire home/apt,2,9,1,1,35571,1,35,328,206,34,4.82,4.87,4.84,4.89,4.91,4.88,4.74,True,4,2.83
1135,13170601,within an hour,0.97,1,False,True,True,26,Las Condes,-33.41687,-70.60164,Entire home/apt,3,26,1,2,53280,1,30,313,124,46,4.61,4.73,4.6,4.76,4.76,4.99,4.47,True,25,1.69
1136,13174037,within a few hours,0.75,0.5,False,True,True,1,Lo Barnechea,-33.35774,-70.25053,Entire home/apt,7,1,2,6,545934,2,30,351,22,0,5,5,5,4.9,4.95,4.95,4.62,False,1,0.3
1138,12220020,within a day,0.6,0,False,True,True,2,Las Condes,-33.40788,-70.5559,Entire home/apt,3,2,1,1,25000,90,30,258,2,0,3,4,4,3,3,4,4,False,1,0.03
